Player,APM,Appearances,RAPM,year
Al Horford,5.798989248476723,3772,0.5700929152659503,2014
DeMarre Carroll,2.957838939087245,10121,1.3584253748574149,2014
Kyle Korver,2.8301019327246757,10380,1.184278939099726,2014
Jeff Teague,0.4181462336189195,10945,0.2027261758475655,2014
Paul Millsap,4.243134762709306,10735,0.4838611356024352,2014
CJ Miles,6.54200738637751,3849,1.4207039568894688,2014
Earl Clark,-2.946547453565206,2975,-1.9028750815641904,2014
Andrew Bynum,0.5526595962144357,2011,-1.0449941611398523,2014
Kyrie Irving,1.814383261415045,9531,-0.9183693958840772,2014
Tristan Thompson,1.4135605890762093,9844,-0.5914929185176585,2014
Elton Brand,5.382243666993758,5844,-0.0735585352744432,2014
Dion Waiters,3.633242608764863,7868,0.5002133007210444,2014
Jarrett Jack,-0.3526933584288061,8538,-1.7024576021195867,2014
Lou Williams,-2.523743175319962,6181,-1.8849102757944316,2014
Shelvin Mack,2.967022759782189,6239,0.9281608167395357,2014
Anderson Varejao,4.432157165740216,6718,1.7146760843354951,2014
Matthew Dellavedova,7.902140184669601,4930,2.3613614242557004,2014
Dennis Schroder,-6.868411840722286,2527,-2.9476130026334726,2014
Mike Scott,1.9376921366551372,6416,-1.5206508578004292,2014
Anthony Bennett,-2.8121465680997733,2646,-1.4860656628368472,2014
Gustavo Ayon,5.026615582918304,1681,-0.0388626816745384,2014
Tyler Zeller,2.040693731061697,4089,0.401589665830076,2014
Josh McRoberts,7.0061484942794445,9352,1.217130450206238,2014
Gerald Henderson,-4.416705011022486,9668,-1.854547869733032,2014
Luke Ridnour,2.724742982521499,4457,-0.6592387358656766,2014
Michael Kidd-Gilchrist,3.820588207708536,5990,1.037688636791524,2014
Al Jefferson,1.792706565481912,10047,0.2309683696773642,2014
Phil Pressey,2.530783900807628,4387,0.1706233956598393,2014
Jared Sullinger,3.638300887514768,7943,1.138407304798561,2014
Brandon Bass,-0.8510493465688456,8840,-1.52349353465535,2014
Jeff Green,1.706347466438301,11022,-0.990209763295338,2014
Avery Bradley,6.182330120116869,7295,1.3434512966692382,2014
Cody Zeller,1.9921538285665368,5780,-1.0676425929652278,2014
Jerryd Bayless,2.3637094470438904,6428,-0.3010920905839024,2014
Gary Neal,-1.606870217501467,4668,-1.758608325274984,2014
Kris Humphries,1.246170743476444,5300,-0.2777305665943081,2014
Kelly Olynyk,0.9117367102493416,5545,-0.1097216301144063,2014
Chris Douglas-Roberts,0.6449871276999658,4127,-0.0981432487321601,2014
Bismack Biyombo,0.0408940734745329,4267,-0.5626966858995763,2014
Chris Johnson,4.035906331082448,3072,0.3423406034117929,2014
Nene,2.121842669199574,7194,0.0245691578639864,2014
Martell Webster,0.9749714009511748,8913,-0.754344642113892,2014
John Wall,0.7710390462366896,13026,0.452179919574435,2014
Marcin Gortat,8.674339596583462,11535,2.7735338157330105,2014
Bradley Beal,2.680911235767617,11294,0.4336799773710937,2014
Kevin Seraphin,3.619980138521788,2234,-0.0419800175765469,2014
Alonzo Gee,-3.0124159657736285,3998,-2.1093036503509603,2014
Garrett Temple,0.6633096276924638,2482,-0.9522012938024832,2014
Jan Vesely,-1.0235242126435606,3041,-1.575555699232144,2014
Shaun Livingston,4.135384455136212,8517,0.5885096385693049,2014
Joe Johnson,3.866148040039189,11399,0.5692803263083484,2014
Paul Pierce,2.5693359623488803,9261,0.5520200248913764,2014
Mason Plumlee,-1.565604276654616,5241,-1.1482354368250085,2014
Deron Williams,8.179382874706418,9406,3.082249522972805,2014
Greg Stiemsma,0.6350373732116009,3839,-1.197688470323152,2014
Al-Farouq Aminu,0.1472253477012578,7831,-0.7077351843217505,2014
Brian Roberts,4.5378215765500585,6366,0.0201889227097142,2014
Anthony Davis,6.927812161336597,9084,1.5673837089637348,2014
Tyreke Evans,-2.6808463330146344,7753,-1.7425810780131046,2014
Alan Anderson,4.898433771568091,7687,0.4503763775478615,2014
Alexis Ajinca,1.7966670156885998,3639,-0.5222096864463764,2014
Marcus Thornton,2.3886500812210008,7169,0.1031310543472021,2014
Mirza Teletovic,0.5349155292143714,6168,-1.070564171904347,2014
Andray Blatche,0.5779136796439853,6869,-0.0188665862152406,2014
Anthony Morrow,0.804676452032968,5432,0.3300387244039718,2014
Austin Rivers,3.733698612449937,5118,0.8015975773296655,2014
Luke Babbitt,7.4411422917504275,1775,1.5514014445823807,2014
Darius Miller,4.523382903357268,2786,1.4976138667115553,2014
Jeff Withey,4.978813195214488,2632,0.7087729172201773,2014
Kosta Koufos,2.4418148858570814,5243,0.363622281828479,2014
Tony Allen,5.181847529776249,5629,1.5294442362662748,2014
Zach Randolph,5.174406914311542,10812,1.5418634722543314,2014
Mike Conley,3.4168441842811905,10048,1.0052434278991922,2014
Tayshaun Prince,1.733850026381622,7588,0.2019503082639867,2014
Jason Smith,1.476437345806649,3154,-0.2575042980992352,2014
Eric Gordon,-3.4828197340785203,7937,-1.9186939374473595,2014
Ryan Anderson,5.764700042050476,3042,1.2105281181643952,2014
Jrue Holiday,7.468032776628488,4416,1.5806954832612556,2014
Jon Leuer,2.369620005873009,2514,-0.1157725708200477,2014
Nick Calathes,2.247068497898008,4404,0.2814422378497171,2014
Ed Davis,3.3743056273507537,3683,0.8430189924842979,2014
Mike Miller,-1.6253602618321403,7080,-1.817412691679178,2014
Joakim Noah,8.347900620684365,11122,1.4155462654500777,2014
Tony Snell,-4.641866215439909,4717,-2.460244117074813,2014
Carlos Boozer,1.790302282763219,8613,-1.7459681053492382,2014
Kirk Hinrich,-0.0461230440548378,8449,0.4600463706405331,2014
Luol Deng,4.375341211145346,8391,1.4082136168949158,2014
Taj Gibson,7.3622423503476755,9158,1.5383297259113071,2014
Mike Dunleavy,1.5466795468094043,10255,0.8579580151845921,2014
Nazr Mohammed,4.287026900155484,2087,-0.2666083071951987,2014
Marquis Teague,-3.411505515257136,1674,-1.4145450899730092,2014
Wesley Johnson,2.2381097783285284,9321,-0.3356128902581889,2014
Jodie Meeks,0.4264970901283896,10600,-1.670100070706635,2014
Ryan Kelly,3.472662033150763,5447,0.7971605454375139,2014
Pau Gasol,1.079405091450701,7771,-0.6300594077411655,2014
Kendall Marshall,4.927405357419253,6471,0.7601154476603358,2014
Jimmy Butler,3.164581698442517,10386,1.4829837807737052,2014
Nick Young,4.962797423340234,7389,1.272872407802046,2014
D.J. Augustin,-1.5842689874824771,7636,-0.4956206022912011,2014
Jordan Hill,-0.7671334695400006,6068,-1.4714633544863365,2014
Robert Sacre,-1.8002912625552707,4526,-1.0449924130221993,2014
Kevin Martin,-3.623920487936165,8913,-1.304779829172877,2014
Gorgui Dieng,2.1485695529811286,3279,-0.9434372156756328,2014
Corey Brewer,2.213717167382064,10775,1.2513364649138647,2014
Ricky Rubio,6.469466399417684,10740,2.492847129238065,2014
Kevin Love,5.802973256842066,11441,1.3595094417292612,2014
Dirk Nowitzki,4.660649003979104,11233,1.758542289891797,2014
Samuel Dalembert,2.0400541438346265,6765,0.6370983349615869,2014
Jose Calderon,3.391646551294524,10389,0.1182495025490397,2014
Shawn Marion,1.8631125386280043,10136,-0.3785621433820827,2014
Monta Ellis,2.11804998766502,12724,-0.0831816972030302,2014
Brandan Wright,0.2904102603133964,4438,0.2760480743654079,2014
Vince Carter,3.9496592306067,8491,1.1583162745007691,2014
Devin Harris,7.123008699810803,3834,1.986094458524224,2014
J.J. Barea,-0.0309441768825045,5812,-1.0424924271869056,2014
Wayne Ellington,-2.9752011878571047,1644,-1.4805450951346877,2014
