player_name,Player
Alaa Abdelnaby,76001
Zaid Abdul-Aziz,76002
Kareem Abdul-Jabbar,76003
Mahmoud Abdul-Rauf,51
Tariq Abdul-Wahad,1505
Shareef Abdur-Rahim,949
Tom Abernethy,76005
Forest Able,76006
John Abramovic,76007
Alex Abrines,203518
Precious Achiuwa,1630173
Alex Acker,101165
Donald Ackerman,76008
Mark Acres,76009
Charles Acton,76010
Quincy Acy,203112
Alvan Adams,76011
Don Adams,76012
Hassan Adams,200801
Jaylen Adams,1629121
Jordan Adams,203919
Michael Adams,149
Steven Adams,203500
Rafael Addison,912
Bam Adebayo,1628389
Deng Adel,1629061
Rick Adelman,76015
Jeff Adrien,202399
Arron Afflalo,201167
Ochai Agbaji,1630534
Maurice Ager,200772
Mark Aguirre,76016
Blake Ahearn,201336
Danny Ainge,76017
Alexis Ajinca,201582
Henry Akin,76018
Josh Akognon,203006
DeVaughn Akoon-Purcell,1629152
Solomon Alabi,202374
Mark Alarie,76019
Gary Alcorn,76020
Santi Aldama,1630583
Furkan Aldemir,203128
Cole Aldrich,202332
LaMarcus Aldridge,200746
Chuck Aleksinas,76021
Cliff Alexander,1626146
Cory Alexander,724
Courtney Alexander,2042
Gary Alexander,76022
Joe Alexander,201570
Kyle Alexander,1629734
Ty-Shon Alexander,1630234
Victor Alexander,2349
Nickeil Alexander-Walker,1629638
Steve Alford,76024
Rawle Alkins,1628959
Bob Allen,76028
Grayson Allen,1628960
Jarrett Allen,1628386
Jerome Allen,706
Kadeem Allen,1628443
Lavoy Allen,202730
Lucius Allen,76027
Malik Allen,2124
Randy Allen,76025
Ray Allen,951
Tony Allen,2754
Odis Allison,76029
Lance Allred,200984
Darrell Allums,76030
Morris Almond,201165
Derrick Alston,308
Rafer Alston,1747
Peter Aluma,1824
Jose Alvarado,1630631
John Amaechi,680
Ashraf Amaya,732
Al-Farouq Aminu,202329
Lou Amundson,200811
Bob Anderegg,76034
Chris Andersen,2365
David Andersen,2431
Alan Anderson,101187
Antonio Anderson,202079
Cliff Anderson,76035
Daniel Anderson,76036
Derek Anderson,1507
Dwight Anderson,76037
Eric Anderson,944
Greg Anderson,246
James Anderson,202341
Jerome Anderson,76040
Justin Anderson,1626147
Kenny Anderson,72
Kim Anderson,76041
Kyle Anderson,203937
Michael Anderson,76042
Mitchell Anderson,76043
Nick Anderson,98
Richard Anderson,76045
Ron Anderson,76046
Ryan Anderson,201583
Shandon Anderson,1000
Willie Anderson,335
Wally Anderzunas,76048
Martynas Andriuskevicius,101149
Don Anielak,76049
Ike Anigbogu,1628387
Michael Ansley,76050
Chris Anstey,1512
Giannis Antetokounmpo,203507
Kostas Antetokounmpo,1628961
Thanasis Antetokounmpo,203648
Carmelo Anthony,2546
Cole Anthony,1630175
Greg Anthony,21
Joel Anthony,201202
Pero Antic,203544
O.G. Anunoby,1628384
Keith Appling,203951
Rafael Araujo,2737
Stacey Arceneaux,76053
Nate Archibald,76054
Robert Archibald,2425
Ryan Arcidiacono,1627853
Jim Ard,76055
Gilbert Arenas,2240
Trevor Ariza,2772
Paul Arizin,76056
Joe Arlauckas,76057
B.J. Armstrong,769
Bob Armstrong,76061
Brandon Armstrong,2220
Darrell Armstrong,353
Hilton Armstrong,200756
Paul Armstrong,76060
Tate Armstrong,76059
Jesse Arnelle,76062
Jay Arnette,76063
Bob Arnzen,76064
Carlos Arroyo,2306
Darrell Arthur,201589
John Arthurs,76065
Jamel Artis,1628503
Omer Asik,201600
Vincent Askew,355
Keith Askins,173
Don Asmonga,76068
Richard Atha,76069
Chucky Atkins,1088
Alvin Attles,76070
Chet Aubuchon,76071
Stacey Augmon,278
D.J. Augustin,201571
James Augustine,200788
Ike Austin,1134
John Austin,76073
Ken Austin,76074
Deni Avdija,1630166
Anthony Avent,138
William Averitt,76076
William Avery,1895
Dennis Awtrey,76078
Joel Ayayi,1630555
Gustavo Ayon,202970
Jeff Ayres,201965
Deandre Ayton,1629028
Kelenna Azubuike,101235
Udoka Azubuike,1628962
Chris Babb,203569
Luke Babbitt,202337
Milos Babic,76079
Johnny Bach,76080
Dwayne Bacon,1628407
Jim Baechtold,76081
Dalibor Bagaric,2053
John Bagley,76082
Marvin Bagley III,1628963
Carl Bailey,76084
Gus Bailey,76083
James Bailey,76085
Thurl Bailey,1847
Toby Bailey,1753
Cameron Bairstow,203946
Mark Baker,1858
Maurice Baker,2486
Norm Baker,76089
Ron Baker,1627758
Vin Baker,452
Wade Baldwin IV,1627735
Patrick Baldwin Jr.,1631116
Renaldo Balkman,200764
Cedric Ball,76090
LaMelo Ball,1630163
Lonzo Ball,1628366
Greg Ballard,76091
Herschel Baltimore,76092
Mo Bamba,1628964
Paolo Banchero,1631094
Desmond Bane,1630217
Gene Banks,76093
Marcus Banks,2556
Ken Bannister,76094
Mike Bantom,76095
Dalano Banton,1630625
Cat Barber,1627760
John Barber,76096
Leandro Barbosa,2571
Stephen Bardo,76097
J.J. Barea,200826
Andrea Bargnani,200745
Cliff Barker,76098
Tom Barker,76099
Charles Barkley,787
Erick Barkley,2057
Don Barksdale,76102
Dominick Barlow,1631230
Harrison Barnes,203084
Harry Barnes,76103
Jim Barnes,76105
Marvin Barnes,76104
Matt Barnes,2440
Scottie Barnes,1630567
Dick Barnett,76107
Jim Barnett,76106
John Barnhill,76108
Norton Barnhill,76109
Leo Barnhorst,76110
John Barr,76111
Mike Barr,76112
Thomas Barr,76113
Andre Barrett,2857
Ernie Barrett,76114
RJ Barrett,1629628
Earl Barron,2853
Dana Barros,344
Brent Barry,699
Drew Barry,1003
Jon Barry,468
Rick Barry,600013
Ed Bartels,76117
Vic Bartolome,76118
Will Barton,203115
Eddie Basden,101188
Jerry Baskerville,76119
Brandon Bass,101138
Paris Bass,1628238
Tim Bassett,76120
Charles Bassey,1629646
Maceo Baston,1766
Mengke Bateer,2370
Billyray Bates,76121
Keita Bates-Diop,1628966
Esteban Batista,101212
Mike Batiste,2471
Tony Battie,1499
Shane Battier,2203
John Battle,174
Kenny Battle,76123
Dave Batton,76124
Nicolas Batum,201587
Johnny Baum,76125
Frankie Baumholtz,76126
Lonny Baxter,2437
Jerryd Bayless,201573
Elgin Baylor,76127
